Ref	Original	Compressed	Target	Fragment	Concatenation
CRGA 41(4)	ceases to be a member of that House when—	ceases to be a member when—	Yes	yes	No
CRGA 41(4)	"the Parliament to which the person was elected is dissolved, or"	"Parliament is dissolved, or"	Yes	yes	No
CRGA 41(4)	the person's seat is otherwise vacated.	the person's seat is otherwise vacated.	Yes	yes	No
CRGA 41(5)	For the purposes of this section and section 42 a person is a member of the House of Lords if the person is entitled to receive writs of summons to attend that House.	A person is a member of the House of Lords if the person is entitled to receive writs of summons to attend that House.	Yes	No	No
CRGA 41(6)	"In relation to a member of the House of Lords, in subsection (1) the reference to any part of a tax year excludes any part of the year during which— (a) section 137(3) of the Constitutional Reform Act 2005 applies to the member, or (b) the member is entitled to receive writs of summons to attend the House of Lords by virtue of being an archbishop or bishop."	"In relation to a member of the House of Lords, tax year excludes any part of the year during which— (a) section 137(3) of the Constitutional Reform Act 2005 applies, or (b) the member is an archbishop or bishop."	No	No	Yes
CRGA 41(8)	"But in applying this section to the tax year 2010-11— (a) if the Parliament in which this Act is passed is dissolved in that tax year, ignore a person's membership of the House of Commons in that Parliament, and (b) in any event, ignore a person's membership of the House of Lords at any time before the end of the period of 3 months beginning with the day on which section 42 comes into force."	"But in applying this section to the tax year 2010-11— (a) if the Parliament is dissolved in that tax year, ignore a person's membership of the House of Commons, and (b) ignore a person's membership of the House of Lords before the end of 3 months beginning the day section 42 comes into force."	No	No	Yes
CRGA 41(8)	But in applying this section to the tax year 2010-11—	But in applying this section to the tax year 2010-11—	Yes	yes	No
CRGA 41(8)	"if the Parliament in which this Act is passed is dissolved in that tax year, ignore a person's membership of the House of Commons in that Parliament, and"	"if the Parliament is dissolved in that tax year, ignore a person's membership of the House of Commons, and"	Yes	yes	No
CRGA 41(8)	"in any event, ignore a person's membership of the House of Lords at any time before the end of the period of 3 months beginning with the day on which section 42 comes into force."	ignore a person's membership of the House of Lords before the end of 3 months beginning the day section 42 comes into force.	Yes	yes	No
EUWA 2(1)	"EU-derived domestic legislation, as it has effect in domestic law immediately before exit day, continues to have effect in domestic law on and after exit day."	EU-derived domestic legislation continues to have effect after exit day.	Yes	No	No
EUWA 2(2)	"In this section “EU-derived domestic legislation” means any enactment so far as— (a) made under section 2(2) of, or paragraph 1A of Schedule 2 to, the European Communities Act 1972, (b) passed or made, or operating, for a purpose mentioned in section 2(2)(a) or (b) of that Act, (c) relating to anything— (i) which falls within paragraph (a) or (b), or (ii) to which section 3(1) or 4(1) applies, or (d) relating otherwise to the EU or the EEA, but does not include any enactment contained in the European Communities Act 1972."	"“EU-derived domestic legislation” means any enactment— (a) made under section 2(2) of, or paragraph 1A of Schedule 2 to, the European Communities Act 1972, (b) operating for a purpose mentioned in section 2(2)(a) or (b) of that Act, (c) relating to anything— (i) which falls within paragraph (a) or (b), or (ii) to which section 3(1) or 4(1) applies, or (d) relating otherwise to the EU or the EEA, but does not include the European Communities Act 1972.
"	No	No	Yes
EUWA 2(2)	In this section “EU-derived domestic legislation” means any enactment so far as—	“EU-derived domestic legislation” means any enactment—	Yes	yes	No
EUWA 2(2)	"passed or made, or operating, for a purpose mentioned in section 2(2)(a) or (b) of that Act,"	"operating for a purpose mentioned in section 2(2)(a) or (b) of that Act,"	Yes	yes	No
EUWA 2(2)	but does not include any enactment contained in the European Communities Act 1972.	but does not include the European Communities Act 1972.	Yes	yes	No
EUWA 3(1)	"Direct EU legislation, so far as operative immediately before exit day, forms part of domestic law on and after exit day."	"Direct EU legislation, so far as operative before exit day, forms part of domestic law after exit day."	Yes	No	No
EUWA 3(2)	"In this Act “direct EU legislation” means— (a) any EU regulation, EU decision or EU tertiary legislation, as it has effect in EU law immediately before exit day and so far as— (i) it is not an exempt EU instrument (for which see section 20(1) and Schedule 6), (ii) it is not an EU decision addressed only to a member State other than the United Kingdom, and (iii) its effect is not reproduced in an enactment to which section 2(1) applies, (b) any Annex to the EEA agreement, as it has effect in EU law immediately before exit day and so far as— (i) it refers to, or contains adaptations of, anything falling within paragraph (a), and (ii) its effect is not reproduced in an enactment to which section 2(1) applies, or (c) Protocol 1 to the EEA agreement (which contains horizontal adaptations that apply in relation to EU instruments referred to in the Annexes to that agreement), as it has effect in EU law immediately before exit day."	"“direct EU legislation” means— (a) any EU legislation, as it has effect in EU law before exit day and so far as— (i) it is not exempt, (ii) it is not an EU decision addressed only to a member State other than the United Kingdom, and (iii) its effect is not reproduced, (b) any Annex to the EEA agreement, as it has effect in EU law before exit day and so far as— (i) it refers to anything falling within paragraph (a), and (ii) its effect is not reproduced, or (c) Protocol 1 to the EEA agreement, as it has effect in EU law before exit day."	No	No	Yes
EUWA 3(2)	In this Act “direct EU legislation” means—	“direct EU legislation” means—	Yes	yes	No
EUWA 3(2)	"any EU regulation, EU decision or EU tertiary legislation, as it has effect in EU law immediately before exit day and so far as—"	"any EU legislation, as it has effect in EU law before exit day and so far as—"	Yes	yes	No
EUWA 3(2)	it is not an exempt EU instrument (for which see section 20(1) and Schedule 6)	"it is not exempt,"	Yes	yes	No
EUWA 3(2)	"it is not an EU decision addressed only to a member State other than the United Kingdom, and"	"it is not an EU decision addressed only to a member State other than the United Kingdom, and"	Yes	yes	No
EUWA 3(2)	"its effect is not reproduced in an enactment to which section 2(1) applies,"	"its effect is not reproduced,"	Yes	yes	No
EUWA 3(2)	"any Annex to the EEA agreement, as it has effect in EU law immediately before exit day and so far as—"	"any Annex to the EEA agreement, as it has effect in EU law before exit day and so far as—"	Yes	yes	No
EUWA 3(2)	"it refers to, or contains adaptations of, anything falling within paragraph (a), and"	"it refers to anything falling within paragraph (a), and"	Yes	yes	No
EUWA 3(2)	"its effect is not reproduced in an enactment to which section 2(1) applies, or"	"its effect is not reproduced, or"	Yes	yes	No
EUWA 3(2)	"Protocol 1 to the EEA agreement (which contains horizontal adaptations that apply in relation to EU instruments referred to in the Annexes to that agreement), as it has effect in EU law immediately before exit day."	"Protocol 1 to the EEA agreement, as it has effect in EU law before exit day."	Yes	yes	No
EUWA 3(3)	"For the purposes of this Act, any direct EU legislation is operative immediately before exit day if— (a) in the case of anything which comes into force at a particular time and is stated to apply from a later time, it is in force and applies immediately before exit day, (b) in the case of a decision which specifies to whom it is addressed, it has been notified to that person before exit day, and (c) in any other case, it is in force immediately before exit day."	"Any direct EU legislation is operative before exit day if— (a) in the case of anything which comes into force and is stated to apply from a later time, it is in force and applies before exit day, (b) in the case of a decision, it has been notified to that person before exit day, and (c) in any other case, it is in force before exit day."	No	No	Yes
EUWA 3(3)	"For the purposes of this Act, any direct EU legislation is operative immediately before exit day if—"	Any direct EU legislation is operative before exit day if—	Yes	yes	No
EUWA 3(3)	"in the case of anything which comes into force at a particular time and is stated to apply from a later time, it is in force and applies immediately before exit day,"	"in the case of anything which comes into force and is stated to apply from a later time, it is in force and applies before exit day,"	Yes	yes	No
EUWA 3(3)	"in the case of a decision which specifies to whom it is addressed, it has been notified to that person before exit day, and"	"in the case of a decision, it has been notified to that person before exit day, and"	Yes	yes	No
EUWA 3(3)	"in any other case, it is in force immediately before exit day."	"in any other case, it is in force before exit day."	Yes	yes	No
EUWA 3(4)	"This section— (a) brings into domestic law any direct EU legislation only in the form of the English language version of that legislation, and (b) does not apply to any such legislation for which there is no such version, but paragraph (a) does not affect the use of the other language versions of that legislation for the purposes of interpreting it."	"This section— (a) brings into domestic law any direct EU legislation in the English language version of that legislation, and (b) does not apply to legislation for which there is no such version, but paragraph (a) does not affect the use of the other language versions of that legislation for interpreting it."	No	No	Yes
EUWA 3(4)	This section—	This section—	No	yes	No
EUWA 3(4)	"brings into domestic law any direct EU legislation only in the form of the English language version of that legislation, and"	"brings into domestic law any direct EU legislation in the English language version of that legislation, and"	Yes	yes	No
EUWA 3(4)	"does not apply to any such legislation for which there is no such version,"	"does not apply to legislation for which there is no such version,"	Yes	yes	No
EUWA 3(4)	but paragraph (a) does not affect the use of the other language versions of that legislation for the purposes of interpreting it.	but paragraph (a) does not affect the use of the other language versions of that legislation for interpreting it.	Yes	yes	No
EUWA 4(1)	"Any rights, powers, liabilities, obligations, restrictions, remedies and procedures which, immediately before exit day— (a) are recognised and available in domestic law by virtue of section 2(1) of the European Communities Act 1972, and (b) are enforced, allowed and followed accordingly, continue on and after exit day to be recognised and available in domestic law (and to be enforced, allowed and followed accordingly).
"	"Any rights, obligations and procedures which, before exit day— (a) are recognised in domestic law by virtue of section 2(1) of the European Communities Act 1972, and (b) are enforced and followed accordingly, continue after exit day to be recognised in domestic law.
"	No	No	Yes
EUWA 4(1)	"Any rights, powers, liabilities, obligations, restrictions, remedies and procedures which, immediately before exit day—"	"Any rights, obligations and procedures which, before exit day—"	Yes	yes	No
EUWA 4(1)	"are recognised and available in domestic law by virtue of section 2(1) of the European Communities Act 1972, and"	"are recognised in domestic law by virtue of section 2(1) of the European Communities Act 1972, and"	Yes	yes	No
EUWA 4(1)	"are enforced, allowed and followed accordingly,"	"are enforced and followed accordingly,"	Yes	yes	No
EUWA 4(1)	"continue on and after exit day to be recognised and available in domestic law (and to be enforced, allowed and followed accordingly)."	continue after exit day to be recognised in domestic law.	Yes	yes	No
EUWA 4(2)	"Subsection (1) does not apply to any rights, powers, liabilities, obligations, restrictions, remedies or procedures so far as they— (a) form part of domestic law by virtue of section 3, or (b) arise under an EU directive (including as applied by the EEA agreement) and are not of a kind recognised by the European Court or any court or tribunal in the United Kingdom in a case decided before exit day (whether or not as an essential part of the decision in the case)."	"Subsection (1) does not apply to any rights, obligations or procedures so far as they— (a) form part of domestic law by virtue of section 3, or (b) arise under an EU directive and are not recognised by the European Court or any court in the United Kingdom in a case decided before exit day."	No	No	Yes
EUWA 4(2)	"Subsection (1) does not apply to any rights, powers, liabilities, obligations, restrictions, remedies or procedures so far as they—"	"Subsection (1) does not apply to any rights, obligations or procedures so far as they—"	Yes	yes	No
EUWA 4(2)	"form part of domestic law by virtue of section 3, or"	"form part of domestic law by virtue of section 3, or"	Yes	yes	No
EUWA 4(2)	arise under an EU directive (including as applied by the EEA agreement) and are not of a kind recognised by the European Court or any court or tribunal in the United Kingdom in a case decided before exit day (whether or not as an essential part of the decision in the case).	arise under an EU directive and are not recognised by the European Court or any court in the United Kingdom in a case decided before exit day.	Yes	yes	No
EUWA 5(1)	The principle of the supremacy of EU law does not apply to any enactment or rule of law passed or made on or after exit day.	The principle of the supremacy of EU law does not apply to any enactment passed after exit day.	Yes	No	No
EUWA 5(2)	"Accordingly, the principle of the supremacy of EU law continues to apply on or after exit day so far as relevant to the interpretation, disapplication or quashing of any enactment or rule of law passed or made before exit day."	The principle of the supremacy of EU law continues to apply after exit day to the interpretation of any enactment passed before exit day.	Yes	No	No
EUWA 5(3)	Subsection (1) does not prevent the principle of the supremacy of EU law from applying to a modification made on or after exit day of any enactment or rule of law passed or made before exit day if the application of the principle is consistent with the intention of the modification.	Subsection (1) does not prevent the principle of the supremacy of EU law from applying to a modification made after exit day of any enactment if the principle is consistent with the intention of the modification.	Yes	No	No
EUWA 5(4)	The Charter of Fundamental Rights is not part of domestic law on or after exit day.	The Charter of Fundamental Rights is not part of domestic law after exit day.	Yes	No	No
EUWA 5(5)	"Subsection (4) does not affect the retention in domestic law on or after exit day in accordance with this Act of any fundamental rights or principles which exist irrespective of the Charter (and references to the Charter in any case law are, so far as necessary for this purpose, to be read as if they were references to any corresponding retained fundamental rights or principles)."	Subsection (4) does not affect the retention in domestic law after exit day of any fundamental rights which exist irrespective of the Charter.	No	No	No
EUWA 6(1)	"A court or tribunal— (a) is not bound by any principles laid down, or any decisions made, on or after exit day by the European Court, and (b) cannot refer any matter to the European Court on or after exit day."	"A court— (a) is not bound by any principles laid down after exit day by the European Court, and (b) cannot refer any matter to the European Court after exit day."	No	No	Yes
EUWA 6(1)	A court or tribunal—	A court—	Yes	yes	No
EUWA 6(1)	"is not bound by any principles laid down, or any decisions made, on or after exit day by the European Court, and"	"is not bound by any principles laid down after exit day by the European Court, and"	Yes	yes	No
EUWA 6(1)	cannot refer any matter to the European Court on or after exit day.	cannot refer any matter to the European Court after exit day.	Yes	yes	No
EUWA 6(2)	"Subject to this and subsections (3) to (6), a court or tribunal may have regard to anything done on or after exit day by the European Court, another EU entity or the EU so far as it is relevant to any matter before the court or tribunal."	"Subject to this and subsections (3) to (6), a court may have regard to anything done after exit day by the European Court or the EU so far as it is relevant."	Yes	No	No
EUWA 6(3)	"Any question as to the validity, meaning or effect of any retained EU law is to be decided, so far as that law is unmodified on or after exit day and so far as they are relevant to it— (a) in accordance with any retained case law and any retained general principles of EU law, and (b) having regard (among other things) to the limits, immediately before exit day, of EU competences."	"Any question as to the effect of any retained EU law is to be decided— (a) in accordance with any retained case law, and (b) having regard to the limits, before exit day, of EU competences."	No	No	Yes
EUWA 6(3)	"Any question as to the validity, meaning or effect of any retained EU law is to be decided, so far as that law is unmodified on or after exit day and so far as they are relevant to it—"	Any question as to the effect of any retained EU law is to be decided—	Yes	yes	No
EUWA 6(3)	"in accordance with any retained case law and any retained general principles of EU law, and"	"in accordance with any retained case law, and"	Yes	yes	No
EUWA 6(3)	"having regard (among other things) to the limits, immediately before exit day, of EU competences."	"having regard to the limits, before exit day, of EU competences."	Yes	yes	No
EUWA 6(4)	"But— (a) the Supreme Court is not bound by any retained EU case law, (b) the High Court of Justiciary is not bound by any retained EU case law when— (i) sitting as a court of appeal otherwise than in relation to a compatibility issue (within the meaning given by section 288ZA(2) of the Criminal Procedure (Scotland) Act 1995) or a devolution issue (within the meaning given by paragraph 1 of Schedule 6 to the Scotland Act 1998), or (ii) sitting on a reference under section 123(1) of the Criminal Procedure (Scotland) Act 1995, and (c) no court or tribunal is bound by any retained domestic case law that it would not otherwise be bound by."	"But— (a) the Supreme Court is not bound by any retained EU case law, (b) the High Court of Justiciary is not bound by any retained EU case law when— (i) sitting as a court of appeal otherwise than in relation to a compatibility or a devolution issue, or (ii) sitting on a reference under section 123(1) of the Criminal Procedure (Scotland) Act 1995, and (c) no court is bound by any retained domestic case law that it would not otherwise be bound by."	No	No	Yes
EUWA 6(4)	"sitting as a court of appeal otherwise than in relation to a compatibility issue (within the meaning given by section 288ZA(2) of the Criminal Procedure (Scotland) Act 1995) or a devolution issue (within the meaning given by paragraph 1 of Schedule 6 to the Scotland Act 1998), or"	"sitting as a court of appeal otherwise than in relation to a compatibility or a devolution issue, or"	Yes	yes	No
EUWA 6(4)	no court or tribunal is bound by any retained domestic case law that it would not otherwise be bound by.	no court is bound by any retained domestic case law that it would not otherwise be bound by.	Yes	yes	No
EUWA 6(5)	"In deciding whether to depart from any retained EU case law, the Supreme Court or the High Court of Justiciary must apply the same test as it would apply in deciding whether to depart from its own case law."	"In deciding whether to depart from any retained EU case law, the Court must apply the same test as it would in deciding whether to depart from its own case law."	Yes	No	No
EUWA 6(6)	"Subsection (3) does not prevent the validity, meaning or effect of any retained EU law which has been modified on or after exit day from being decided as provided for in that subsection if doing so is consistent with the intention of the modifications."	Subsection (3) does not prevent the effect of any retained EU law which has been modified after exit day from being decided if doing so is consistent with the intention of the modifications.	Yes	No	No
EUWA 8(1)	"A Minister of the Crown may by regulations make such provision as the Minister considers appropriate to prevent, remedy or mitigate— (a) any failure of retained EU law to operate effectively, or (b) any other deficiency in retained EU law, arising from the withdrawal of the United Kingdom from the EU.
"	"A Minister make provision to mitigate— (a) any failure of retained EU law to operate effectively, or (b) any other deficiency, arising from withdrawal.
"	No	No	Yes
EUWA 8(1)	"A Minister of the Crown may by regulations make such provision as the Minister considers appropriate to prevent, remedy or mitigate—"	A Minister make provision to mitigate—	Yes	yes	No
EUWA 8(1)	"any failure of retained EU law to operate effectively, or"	"any failure of retained EU law to operate effectively, or"	Yes	yes	No
EUWA 8(1)	"any other deficiency in retained EU law, arising from the withdrawal of the United Kingdom from the EU."	"any other deficiency, arising from withdrawal."	Yes	yes	No
EUWA 8(2)	"Deficiencies in retained EU law are where the Minister considers that retained EU law— (a) contains anything which has no practical application in relation to the United Kingdom or any part of it or is otherwise redundant or substantially redundant, (b) confers functions on, or in relation to, EU entities which no longer have functions in that respect under EU law in relation to the United Kingdom or any part of it, (c) makes provision for, or in connection with, reciprocal arrangements between— (i) the United Kingdom or any part of it or a public authority in the United Kingdom, and (ii) the EU, an EU entity, a member State or a public authority in a member State, which no longer exist or are no longer appropriate, (d) makes provision for, or in connection with, other arrangements which— (i) involve the EU, an EU entity, a member State or a public authority in a member State, or (ii) are otherwise dependent upon the United Kingdom's membership of the EU, and which no longer exist or are no longer appropriate, (e) makes provision for, or in connection with, any reciprocal or other arrangements not falling within paragraph (c) or (d) which no longer exist, or are no longer appropriate, as a result of the United Kingdom ceasing to be a party to any of the EU Treaties, (f) does not contain any functions or restrictions which— (i) were in an EU directive and in force immediately before exit day (including any power to make EU tertiary legislation), and (ii) it is appropriate to retain, or (g) contains EU references which are no longer appropriate."	"Deficiencies are where retained EU law— (a) contains anything which has no practical application in relation to the United Kingdom, (b) confers functions on EU entities which no longer have functions in relation to the United Kingdom, (c) makes reciprocal arrangements between— (i) the United Kingdom, and (ii) the EU or a public authority in a member State, which are no longer appropriate, (d) makes other arrangements which— (i) involve the EU or a public authority in a member State, or (ii) are otherwise dependent upon the United Kingdom's membership of the EU, and which are no longer appropriate, (e) makes arrangements not falling within paragraph (c) or (d) which are no longer appropriate, as a result of the United Kingdom ceasing to be a party to any of the EU Treaties, (f) does not contain any functions which— (i) were in an EU directive and in force before exit day, and (ii) it is appropriate to retain, or (g) contains EU references which are no longer appropriate."	No	No	Yes
EUWA 8(2)	Deficiencies in retained EU law are where the Minister considers that retained EU law—	Deficiencies are where retained EU law—	Yes	yes	No
EUWA 8(2)	"contains anything which has no practical application in relation to the United Kingdom or any part of it or is otherwise redundant or substantially redundant,"	"contains anything which has no practical application in relation to the United Kingdom,"	Yes	yes	No
EUWA 8(2)	"confers functions on, or in relation to, EU entities which no longer have functions in that respect under EU law in relation to the United Kingdom or any part of it,"	"confers functions on EU entities which no longer have functions in relation to the United Kingdom,"	Yes	yes	No
EUWA 8(2)	"makes provision for, or in connection with, reciprocal arrangements between—"	makes reciprocal arrangements between—	Yes	yes	No
EUWA 8(2)	"the United Kingdom or any part of it or a public authority in the United Kingdom, and"	"the United Kingdom, and"	Yes	yes	No
EUWA 8(2)	"the EU, an EU entity, a member State or a public authority in a member State, which no longer exist or are no longer appropriate,"	"the EU or a public authority in a member State, which are no longer appropriate,"	Yes	yes	No
EUWA 8(2)	"makes provision for, or in connection with, other arrangements which—"	makes other arrangements which—	Yes	yes	No
EUWA 8(2)	"involve the EU, an EU entity, a member State or a public authority in a member State, or"	"involve the EU or a public authority in a member State, or"	Yes	yes	No
EUWA 8(2)	"are otherwise dependent upon the United Kingdom's membership of the EU, and which no longer exist or are no longer appropriate,"	"are otherwise dependent upon the United Kingdom's membership of the EU, and which are no longer appropriate,"	Yes	yes	No
EUWA 8(2)	"makes provision for, or in connection with, any reciprocal or other arrangements not falling within paragraph (c) or (d) which no longer exist, or are no longer appropriate, as a result of the United Kingdom ceasing to be a party to any of the EU Treaties,"	"makes arrangements not falling within paragraph (c) or (d) which are no longer appropriate, as a result of the United Kingdom ceasing to be a party to any of the EU Treaties,"	Yes	yes	No
EUWA 8(2)	does not contain any functions or restrictions which—	does not contain any functions which—	Yes	yes	No
EUWA 8(2)	"were in an EU directive and in force immediately before exit day (including any power to make EU tertiary legislation), and"	"were in an EU directive and in force before exit day, and"	Yes	yes	No
EUWA 8(2)	"it is appropriate to retain, or (g) contains EU references which are no longer appropriate."	"it is appropriate to retain, or (g) contains EU references which are no longer appropriate."	Yes	yes	No
FTPA 1(2)	The polling day for the next parliamentary general election after the passing of this Act is to be 7 May 2015.	The polling day for the next general election is to be 7 May 2015.	Yes	No	No
FTPA 1(3)	The polling day for each subsequent parliamentary general election is to be the first Thursday in May in the fifth calendar year following that in which the polling day for the previous parliamentary general election fell.	The day for each subsequent general election is the first Thursday in May in the fifth year following the previous general election.	Yes	No	No
FTPA 1(4)	"But, if the polling day for the previous parliamentary general election— (a) was appointed under section 2(7), and (b) in the calendar year in which it fell, fell before the first Thursday in May, subsection (3) has effect as if for “fifth” there were substituted “fourth”.
"	"But, if the day for the previous general election— (a) was appointed under section 2(7), and (b) fell before the first Thursday in May, subsection (3) has effect as if for “fifth” there were substituted “fourth”.
"	No	No	Yes
FTPA 1(4)	"But, if the polling day for the previous parliamentary general election—"	"But, if the day for the previous general election—"	Yes	yes	No
FTPA 1(4)	"was appointed under section 2(7), and"	"was appointed under section 2(7), and"	Yes	yes	No
FTPA 1(4)	"in the calendar year in which it fell, fell before the first Thursday in May,"	"fell before the first Thursday in May,"	Yes	yes	No
FTPA 1(4)	subsection (3) has effect as if for “fifth” there were substituted “fourth”.	subsection (3) has effect as if for “fifth” there were substituted “fourth”.	Yes	yes	No
FTPA 1(5)	"The Prime Minister may by order made by statutory instrument provide that the polling day for a parliamentary general election in a specified calendar year is to be later than the day determined under subsection (2) or (3), but not more than two months later."	"The Prime Minister may by order provide that the day for a general election is to be later than the day under subsection (2) or (3), but not more than two months later."	Yes	No	No
FTPA 1(6)	A statutory instrument containing an order under subsection (5) may not be made unless a draft has been laid before and approved by a resolution of each House of Parliament.	An order under subsection (5) may not be made unless a draft has been approved by each House of Parliament.	Yes	No	No
FTPA 1(7)	The draft laid before Parliament must be accompanied by a statement setting out the Prime Minister’s reasons for proposing the change in the polling day.	The draft must be accompanied by a statement setting out the Prime Minister’s reasons for proposing the change in day.	Yes	No	No
FTPA 2(1)	"An early parliamentary general election is to take place if— (a) the House of Commons passes a motion in the form set out in subsection (2), and (b) if the motion is passed on a division, the number of members who vote in favour of the motion is a number equal to or greater than two thirds of the number of seats in the House (including vacant seats)."	"An early general election is to take place if— (a) the House of Commons passes a motion, and (b) the number of members who vote in favour of the motion is equal or greater than two thirds of the number of seats in the House."	No	No	Yes
FTPA 2(1)	An early parliamentary general election is to take place if—	An early general election is to take place if—	Yes	yes	No
FTPA 2(1)	"the House of Commons passes a motion in the form set out in subsection (2), and"	"the House of Commons passes a motion, and"	Yes	yes	No
FTPA 2(1)	"if the motion is passed on a division, the number of members who vote in favour of the motion is a number equal to or greater than two thirds of the number of seats in the House (including vacant seats)."	the number of members who vote in favour of the motion is equal or greater than two thirds of the number of seats in the House.	Yes	yes	No
FTPA 2(2)	The form of motion for the purposes of subsection (1)(a) is—	The form of motion is—	Yes	yes	No
FTPA 2(3)	"An early parliamentary general election is also to take place if— (a) the House of Commons passes a motion in the form set out in subsection (4), and (b) the period of 14 days after the day on which that motion is passed ends without the House passing a motion in the form set out in subsection (5)."	"An early general election is also to take place if— (a) the House of Commons passes a motion, and (b) the period of 14 days after the motion is passed ends without the House passing a motion in the form set out in subsection (5)."	No	No	Yes
FTPA 2(3)	An early parliamentary general election is also to take place if—	An early general election is also to take place if—	Yes	yes	No
FTPA 2(3)	"the House of Commons passes a motion in the form set out in subsection (4), and"	"the House of Commons passes a motion, and"	Yes	yes	No
FTPA 2(3)	the period of 14 days after the day on which that motion is passed ends without the House passing a motion in the form set out in subsection (5).	the period of 14 days after the motion is passed ends without the House passing a motion in the form set out in subsection (5).	Yes	yes	No
FTPA 2(7)	"If a parliamentary general election is to take place as provided for by subsection (1) or (3), the polling day for the election is to be the day appointed by Her Majesty by proclamation on the recommendation of the Prime Minister (and, accordingly, the appointed day replaces the day which would otherwise have been the polling day for the next election determined under section 1)."	"If a general election is to take place as provided for by subsection (1) or (3), the polling day is  the day appointed by Her Majesty on the recommendation of the Prime Minister."	Yes	No	No
FTPA 3(1)	The Parliament then in existence dissolves at the beginning of the 17th working day before the polling day for the next parliamentary general election as determined under section 1 or appointed under section 2(7).	Parliament dissolves at the beginning of the 17th working day before the next general election.	Yes	No	No
FTPA 3(3)	"Once Parliament dissolves, the Lord Chancellor and, in relation to Northern Ireland, the Secretary of State have the authority to have the writs for the election sealed and issued (see rule 3 in Schedule 1 to the Representation of the People Act 1983)."	"Once Parliament dissolves, the Lord Chancellor and, in relation to Northern Ireland, the Secretary of State have the authority to have the writs for the election issued."	Yes	No	No
FTPA 3(4)	"Once Parliament dissolves, Her Majesty may issue the proclamation summoning the new Parliament which may— (a) appoint the day for the first meeting of the new Parliament; (b) deal with any other matter which was normally dealt with before the passing of this Act by proclamations summoning new Parliaments (except a matter dealt with by subsection (1) or (3))."	"Once Parliament dissolves, Her Majesty may— (a) appoint the day for the first meeting of the new Parliament; (b) deal with any other matter which was normally dealt with before the passing of this Act."	No	No	Yes
FTPA 3(4)	"Once Parliament dissolves, Her Majesty may issue the proclamation summoning the new Parliament which may—"	"Once Parliament dissolves, Her Majesty may—"	Yes	yes	No
FTPA 3(4)	appoint the day for the first meeting of the new Parliament;	appoint the day for the first meeting of the new Parliament;	Yes	yes	No
FTPA 3(4)	deal with any other matter which was normally dealt with before the passing of this Act by proclamations summoning new Parliaments (except a matter dealt with by subsection (1) or (3)).	deal with any other matter which was normally dealt with before the passing of this Act.	Yes	yes	No
FSBRA 1(2)	"discharging its general functions in relation to the matters mentioned in subsection (4A) in a way that seeks to— (i) ensure that the business of ring-fenced bodies is carried on in a way that avoids any adverse effect on the continuity of the provision in the United Kingdom of core services, (ii) ensure that the business of ring-fenced bodies is protected from risks (arising in the United Kingdom or elsewhere) that could adversely affect the continuity of the provision in the United Kingdom of core services, and (iii) minimise the risk that the failure of a ring-fenced body or of a member of a ring-fenced body’s group could affect the continuity of the provision in the United Kingdom of core services."	"discharging its general functions in a way that seeks to— (i) ensure that the business of ring-fenced bodies is carried on in a way that avoids any adverse effect the provision of core services, (ii) ensure that the business of ring-fenced bodies is protected from risks that could adversely affect the provision of core services, and (iii) minimise the risk that the failure of a ring-fenced body could affect the provision of core services."	No	No	Yes
FSBRA 1(2)	discharging its general functions in relation to the matters mentioned in subsection (4A) in a way that seeks to—	discharging its general functions in a way that seeks to—	Yes	yes	No
FSBRA 1(2)	"ensure that the business of ring-fenced bodies is carried on in a way that avoids any adverse effect on the continuity of the provision in the United Kingdom of core services,"	"ensure that the business of ring-fenced bodies is carried on in a way that avoids any adverse effect the provision of core services,"	Yes	yes	No
FSBRA 1(2)	"ensure that the business of ring-fenced bodies is protected from risks (arising in the United Kingdom or elsewhere) that could adversely affect the continuity of the provision in the United Kingdom of core services, and"	"ensure that the business of ring-fenced bodies is protected from risks that could adversely affect the provision of core services, and"	Yes	yes	No
FSBRA 1(2)	minimise the risk that the failure of a ring-fenced body or of a member of a ring-fenced body’s group could affect the continuity of the provision in the United Kingdom of core services.	minimise the risk that the failure of a ring-fenced body could affect the provision of core services.	Yes	yes	No
FSBRA 1(4)	"The matters referred to in subsection (3)(c) are— (a) Part 9B (ring-fencing); (b) ring-fenced bodies (see section 142A); (c) any body corporate incorporated in the United Kingdom that has a ring-fenced body as a member of its group; (d) applications under Part 4A which, if granted, would result, or would be capable of resulting, in a person becoming a ring-fenced body."	The matters referred to in subsection (3)(c) are— (a) Part 9B; (b) ring-fenced bodies; (c) any corporate that has a ring-fenced body as a member of its group; (d) applications under Part 4A which would result in a person becoming a ring-fenced body.	No	No	Yes
FSBRA 1(4)	The matters referred to in subsection (3)(c) are—	The matters referred to in subsection (3)(c) are—	No	yes	No
FSBRA 1(4)	Part 9B (ring-fencing)	Part 9B	No	yes	No
FSBRA 1(4)	ring-fenced bodies (see section 142A)	ring-fenced bodies	No	yes	No
FSBRA 1(4)	any body corporate incorporated in the United Kingdom that has a ring-fenced body as a member of its group	any corporate that has a ring-fenced body as a member of its group	Yes	yes	No
FSBRA 1(4)	"applications under Part 4A which, if granted, would result, or would be capable of resulting, in a person becoming a ring-fenced body."	applications under Part 4A which would result in a person becoming a ring-fenced body.	Yes	yes	No
